fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,color
6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6,white
6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,6,white
5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4,white
6.3,0.32,0.26,12,0.049,63,170,0.9961,3.14,0.55,9.9,6,white
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5,white
7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6,white
5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5,white
9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7,red
6.2,0.21,0.34,6.6,0.03,36,91,0.9914,3.32,0.45,12.5,7,white
8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,6,white
7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,6,white
7,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,6,white
7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,6,white
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,white
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7,white
7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6,white
6,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6,5,white
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,red
7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,6,white
9.5,0.42,0.41,2.3,0.034,22,145,0.9951,3.06,0.52,11,6,white
6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5,white
8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7,red
6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4,white
7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45,9.1,6,white
10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,6,red
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5,white
5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5,white
6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7,white
6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6,white
6.9,0.21,0.62,6.3,0.042,7,109,0.99358,2.96,0.59,10.2,6,white
7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6,white
5.9,0.18,0.28,5.1,0.039,50,139,0.99165,3.16,0.44,11.3,6,white
6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9,5,white
7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,5,white
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,red
6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5,white
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5,red
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red
5.9,0.54,0,0.8,0.032,12,82,0.99286,3.25,0.36,8.8,5,white
7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6,white
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,white
9.7,0.24,0.45,1.2,0.033,11,59,0.9926,2.74,0.47,10.8,6,white
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,red
6,0.24,0.34,1,0.036,52,184,0.99097,3.44,0.44,11.45,6,white
6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,8,white
6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,6,white
6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,5,white
6.4,0.16,0.37,1.5,0.037,27,109,0.99345,3.38,0.5,9.8,6,white
7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,6,white
6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6,white
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7,white
6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,7,white
5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,7,white
6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,7,white
10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6,red
5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6,white
7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,6,white
6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,6,red
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5,white
7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,6,white
7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,6,white
6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,6,white
6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6,white
8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5,white
7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5,white
8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6,red
6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6,white
4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,7,white
6.6,0.29,0.31,3.9,0.027,39,96,0.99035,3.24,0.6,12.6,8,white
7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,5,red
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,red
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7,red
6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,6,red
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6,white
10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,6,red
8.4,0.32,0.35,11.7,0.029,3,46,0.99439,3.02,0.34,11.8,6,white
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,red
6,0.41,0.05,1.5,0.063,17,120,0.9932,3.21,0.56,9.2,6,white
6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,4,white
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,red
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6,white
7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,6,red
5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6,white
8.9,0.27,0.34,10.7,0.029,19.5,166,0.99669,3.13,0.48,10.6,5,white
6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6,white
6.9,0.19,0.39,8,0.028,22,84,0.994,3.11,0.66,10.8,6,white
6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6,red
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,4,red
12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6,red
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,white
6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,6,white
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,red
6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6,red
6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5,white
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5,white
6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,7,white
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,white
6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,6,white
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5,white
6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6,white
